不雜,མ་འདྲེས་པ
無有怯劣,སྤ་བཀོང་བར་བྱ་བ་མེད་པ
正精進,ཡང་དག་པའི་རྩོལ་བ
災横怖畏,གཙེ་བའི་འཇིགས་པ
品業差別,རྣམ་པའི་ལས་ཀྱི་རབ་ཏུ་དབྱེ་བ
生怖畏,སྐྲག་པར་གྱུར་པ
時,དུས་སུ
能起律儀,ཀུན་ནས་སློང་བའི་སྡོམ་པ
乘事,བཞོན་པའི་དངོས་པོ
令---恐,འཇིགས་པར་བྱེད་པ
觸集,རེག་པ་བྱུང་བ
廣大精進,བརྩོན་འགྲུས་རྒྱ་ཆེན་པོ
審定,ངེས་པར་འཛིན་པ
爲諸煩惱所媚令改本性,ཉོན་མོངས་པས་བརླམས་པའི་རང་བཞིན་ཅན
法異門智,ཆོས་རྣམས་ཀྱི་རྣམ་གྲངས་ཤེས་པ
多爲一,མང་པོར་གྱུར་ནས་གཅིག་ཏུ་འགྱུར་བ
正行正至,ཡང་དག་པར་ཞུགས་པ
作證,དབང་དུ་གྱུར་པ
所---應作,བྱ་བ
心迷亂,སེམས་ཀྱི་འཁྲུལ་པ
善淨勝智見,ཡེ་ཤེས་མཐོང་བ་ཤིན་ཏུ་རྣམ་པར་དག་པ
不至増,ཤས་ཆེ་བར་མ་གྱུར
佛國土,སངས་རྒྱས་ཀྱི་ཞིང
黯黒,སྨེ་བ་ནག་པོ
毀犯戒者,ཆལ་བའི་ཚུལ་ཁྲིམས
生,འབྱུང་བར་འགྱུར་བ
涅槃岸,མྱ་ངན་ལས་འདས་པའི་ཐང
無染汚,ཀུན་ནས་ཉོན་མོངས་པ་མ་མཆིས་པ་ཉིད
喧動,ལབ་ལབ་པོ
生誹謗,སྤངས་པ
多諸財寶,དོན་མང་བ
能得漏盡方便,ཟག་པ་ཟད་པ་འཐོབ་པའི་ཐབས
違越,འགལ་བར་བྱས་ནས
爲作助伴,གྲོགས་བྱ་བ
現行,ལྷག་པར་སྤྱོད་པར་བྱེད་པ
四縁,རྐྱེན་བཞི་པོ
香,སྤོས་ཀྱི་རྣམ་པ
正智,ཤེས་རབ
一面,ཕྱོགས་གཅིག་ཏུ
初修業者,ལས་དང་པོ་པ
内色想,ནང་ལ་གཟུགས་སུ་འདུ་ཤེས་པ
染汚識,རྣམ་པར་ཤེས་པ་ཞེན་པ་དང་ལྡན་པ
令---聞,རྗེས་སུ་སྒྲོགས་པར་བྱེད་པ
聰慧者,མཁས་པ
瀑流,ཆུའི་རྒྱུན
熱灰,ཐལ་བ་ཚ་བ
不起言説,བརྗོད་པ་མེད་པ
未了義,དོན་མ་རྟོགས་པ
死生智力,འཆི་འཕོ་བ་དང་སྐྱེ་བ་མཁྱེན་པའི་སྟོབས
邪執,ལེགས་པར་ཟིན་པ་མ་ཡིན་པ
同陽焰,སྨིག་རྒྱུ་ལྟ་བུ
難調伏,བསྒྲུབ་པར་དཀའ་བ
有命數法,ཆོས་སྲོག་དང་ལྡན་པར་བགྲང་བ་རྣམས
我慢相,ངའོ་སྙམ་པའི་མཚན་མ
自覺慧境界,རང་གི་བློའི་ཡུལ
及,ཐུག་པ
起,ཉེ་བར་བཞག་ནས
最極清淨,རྣམ་པར་བྱང་བའི་མཆོག
修集勝縁,ཡང་དག་པར་འགྲུབ་པའི་རྐྱེན་གཙོ་བ
念念,སྐད་ཅིག
不能泯伏,རྣམ་པར་འཇིག་པར་འཇུག་པར་མི་འགྱུར་བ
兄弟,ཕུ་ནུ་པོ
勝義攝,དོན་དམ་པས་བསྡུས་པ
掃滌其心,ཡིད་བཏུད་པ
界藏,ཁམས་ཀྱི་སྙིང་པོ
意樂加行,བསམ་པ་དང་སྦྱོར་བད
下劣性,མ་རྫོགས་པ
樂覺,བདེ་བའི་བློ
長年,བར་མ
無缺減,ཉམས་པར་མི་བྱེད་པ
最極暴惡,དྲག་པོ
不應行,འཇུག་པར་བྱ་བ་མ་ཡིན་པ
女倶行,བུད་མེད་དང་ལྡན་པ
變異生,འགྱུར་བ་འབྱུང་བ
功徳衰退,ཡོན་ཏན་ཡོངས་སུ་འགྲིབ་པ
習,རྟེན་པ
起已,ལངས་ནས
餘生相續,ཚེ་གཞན་གྱི་རྒྱུན་འཇུག་པ
縁法,ཆོས་ལ་དམིགས་པ
稱讃所隨,ལེགས་སུ་སྨོན་པར་བྱ་བའི་རྗེས་སུ་འགྲོ་བ
十二處,སྐྱེ་མཆེད་བཅུ་གཉིས་པོ་དག
小池,རྫིང་བུ
作業差別,ལས་དང་བྱ་བའི་བྱེ་བྲག
聞持,ཐོས་པ་འཛིན་པ
令---得久住,ཡུན་རིང་དུ་གནས་པར་མཛད་པ
難行苦行,དཀའ་བ་སྤྱོད་པ
互相,གཅིག་ལ་གཅིག
摧滅,ནུབ་པ
聽制,གནང་བ་དང་བཀག་པ
老,རྒན་པ
蠕動,རི་དབ༹གས་ཕྲ་མོ
財物,སྦྱིན་པར་བྱེད་པའི་དངོས་པོ
興盛衰損,དར་བ་དང་རྒུད་པ
深了別,ཉེ་བར་བརྟགས་པ
言事,གཏམ་གྱི་གཞི
最極炎熾熱時,དཔྱིད་ཀ་ཤིན་ཏུ་ཚ་བའི་དུས་ལ་བབ་པའི་ཚེ
斷最勝,སྤངས་པ་དམ་པ
顯色,ཁ་དོག
次第編列,མཐར་གྱིས་ལེགས་པར་སྡེབ་པར་བྱེད་པ
渉路,ལམ
應習近,ངེས་པར་བསྟེན་པར་བྱ་བར་འོས་པ
數數作意思惟無相,མཚན་མ་མེད་པའི་དམིགས་པ་མང་དུ་ཡིད་ལ་བྱེད་པ
最極寂靜,མཆོག་ཏུ་རབ་ཏུ་ཞི་བ
入,གཤེགས་པ
躄,འགྱེལ་བ
領受苦樂,བདེ་བ་དང་སྡུག་བསྔལ་མྱོང་བ
少分成就,ལ་ལ་དང་ལྡན་པ
事邊際性,དངོས་པོའི་མཐའ
畫師,རི་མོ་མཁན
自義他義倶義,བདག་གི་དོན་དང་གཞན་གྱི་དོན་དང་གཉི་གའི་དོན
好樂,ཚོལ་བ
能投,འདོར་བར་བྱེད་པ
不堪受教,ཚིག་མི་བཟོད་པ
苦,སྡུག་བསྔལ་ཉིད
令心安住,སེམས་ལ་གཞག་པར་བྱ་བ
仗託,བརྟེན་པ
同,མཐུན་པར་ཞུགས་པ
親戚喪亡,ཉེ་དུས་རྒུད་པ
能作證,མངོན་དུ་བྱེད་པ
行所不行,འཇུག་པར་བྱ་བ་མ་ཡིན་པར་འཇུག་པ
竊法,ཆོས་རྐུ་བ
總標,བསྟན་པ
妄見黒闇,ལྟ་བའི་མུན་པ
令離欲,འདུན་པ་ཟློག་པ
道所依,ལམ་གྱི་རྟེན
證得,འཐོབ་པ
二諦,བདེན་པ་རྣམ་པ་གཉིས
毀犯,བྱས་པ
自相應不成就,རང་གི་མཚན་ཉིད་ཡོངས་སུ་མ་གྲུབ་པ
漸漸生展轉往趣,ཆེས་ཆེ་བ་དང་ཆེ་བར་འབྱུང་ཞིང་འགྲོ་བ
四風輪,རླུང་གྱི་དཀྱིལ་འཁོར་བཞི
名言熏習想所行自性,བརྗོད་པ་ལ་གོམས་པའི་མིང་གི་སྤྱོད་ཡུལ་གྱི་ངོ་བོ་ཉིད
著,འབེབས་པར་བྱེད་པ
直,དྲང་བ
損害,གནོད་པར་འགྱུར་བ
現矚現見,སྣང་བར་མངོན་སུམ་དུ
無漏法,ཟག་པ་མེད་པ
釘,ལྕགས་ཀྱི་ཕུར་པ
無明黒闇,མ་རིག་པའི་མུན་པ
不報弄,ཕྱིར་མཚང་མི་འབྲུ་བ
過,ཉེས་པར་སྤྱོད་པ
大解脱者,རྣམ་པར་གྲོལ་བ་ཆེན་པོ
空性相應如來所説微妙法句,དེ་བཞིན་གཤེགས་པས་གསུངས་པའི་ཆོས་དང་ཚིག་སྟོང་པ་ཉིད་དང་ལྡན
心覺,སེམས་ཀྱི་བློ
正師子吼,སེང་གེའི་སྒྲ་ཡང་དག་པར་སྒྲོགས་པ
律儀戒,སྡོམ་པའི་ཚུལ་ཁྲིམས
貪著,བརྐམ་པར་འགྱུར་བ
無常苦不淨染汚,མི་རྟག་པ་དང་སྡུག་བསྔལ་བ་དང་མི་གཙང་བ་དང་ཉོན་མོངས་པ་ཅན
承事貪,ཉེ་བར་སྤྱོད་པའི་འདོད་ཆགས
衆會安立整粛,འཁོར་སྙིང་པོ་ཅན་གནས་པ
自種類,རང་གི་རིགས
瞻,རྣམ་པར་ལྟ་བར་བྱེད་པ
大説,ཆེན་པོ་བསྟན་པ
有相,མཚན་མ་མོད་པ
逼迫,གནོད་པ
爲怖畏,དོགས་པའི་འཇིགས་པ
人性具足因,སྐྱེས་པ་ཉིད་ཀྱི་རྒྱུ
不可歸仰,སྐྱབས་ཀྱི་འོས་མ་ཡིན་ཞིང་མངོན་དུ་འགྲོ་བར་བྱ་བའི་འོས་མ་ཡིན་པ
乖戻,གྱ་གྱུ
信解極下劣,དམན་པ་ལ་མོས་པ
定異因,སོ་སོར་ངེས་པའི་རྒྱུ
敬養,བསྙེན་བཀུར་དང་ག-ཡོག་བྱ་བ
乖諍,མི་མཐུན་པ
正見,ལྟ་བ
死生智通,འཆི་འཕོ་བ་དང་སྐྱེ་བ་མཁྱེན་པ
希奇法,ངོ་མཚར་རྨད་དུ་བྱུང་བའི་ཆོས
聞思修,ཐོས་པ་དང་བསམ་པ་དང་བསྒོམ་པ
碎支節,ཡན་ལག་གསེ་ཞིང
如水被持,ཆུ་བཞིན་དུ་བགག་པ
食不平等,ཁ་ཟས་མི་མཐུན་པ་ཟོས་པ
無加行無分別心,མངོན་པར་འདུ་བྱེད་པ་མེད་པ་ལ་རྣམ་པར་རྟོག་པ་མེད་པའི་སེམས
有因法,རྒྱུ་དང་བཅས་པ་ལས་བྱུང་བ་རྣམས
沐浴,ཁྲུས་བྱེད་པ
有支,སྲིད་པའི་ཡན་ལག
所宣説,འདོན་པ
四識住,རྣམ་པར་ཤེས་པའི་གནས་བཞི
無顚倒,མ་ནོར་བ་ཉིད
念,དྲན་པ
大種,འབྱུང་བ་ཆེན་པོ
殺害,གནོད་པར་བྱ་བ
財貪,འདུ་འཛི
如---火,མདག་མེའི་འོབས་དང་འདྲ་བ
目,སྤྱན
如實不了行相,ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་མི་རྟོགས་པའི་མཚན་ཉིད
勝義諦,དོན་དམ་པ
智慧成熟,ཤེས་པ་ཡོངས་སུ་སྨིན་པ
自分別所起相,རང་གིས་ཡོངས་སུ་བརྟགས་པའི་མཚན་མ
貧,བཀྲེན་པ
如理説,རིགས་པར་སྟོན་པ
色種,གཟུགས་ཀྱི་ས་བོན
現見,ཡང་དག་པར་མཐོང་བ
心温潤,སེམས་མཉེན་པ
義説,དོན་གྱིས
無諍法,ཆོས་ཉོན་མོངས་པ་ཅན་མ་ཡིན་པ
於身觀滅法住,ལུས་ལ་འཇིག་པའི་ཆོས་ཅན་དུ་རྗེས་སུ་ལྟ་ཞིང་གནས
懇責,སྨོད་པ
解脱智,རྣམ་པར་གྲོལ་བའི་ཤེས་པ
遠離,རབ་ཏུ་དབེན་པར་གྱུར་པ
梵王子,ཚངས་པའི་བུ
心求上進,སེམས་བརྐྱོད་པར་བྱེད་པ
怨賊,ཆོམ་རྐུན
不如理虚妄分別,ཚུལ་བཞིན་མ་ཡིན་པར་རྟོག་པར་བྱེད་པ
内外空,ཕྱི་ནང་སྟོང་པ་ཉིད
妙善,ཤིས་པ
猛利貪欲瞋恚愚癡纒,ཆགས་པས་ཀུན་ནས་དཀྲིས་པ་བདོ་བ་འམ་ཞེ་སྡང་དང་གཏི་མུག་གིས་ཀུན་ནས་དཀྲིས་པ་བདོ་བ
識流,རྣམ་པར་ཤེས་པའི་རྒྱུན
精,བཟང་པོ
廉儉,ཆོག་ཤེས་པ
捨,བཏང་སྙོམས་སུ་བྱས་ཏེ
昔串習隨轉力,སྔོན་དེ་ལ་གོམས་པའི་རྗེས་སུ་འཇུག་པ
此後得,དེའི་རྗེས་ལས་ཐོབ་པ
所罵,གཤེ་བར་བྱ་བ
所立,རྣམ་པར་གཞག་པ
已斷一切無學身,སྤངས་པ་མི་སློབ་པའི་རྒྱུད
大師功徳,སྟོན་པའི་ཡོན་ཏན
無顧戀住,མི་ལྟ་བར་གནས་པ
立爲,རྣམ་པར་འཇོག་པ
王子,གཞོན་ནུ
非理所引,མི་རིགས་པ་དང་ལྡན་པ
自身,བདག་གི་ལུས
永出離,ངེས་པར་འབྱིན་པ
發願,སྨོན་ལམ་བཏབ་པ
無縱逸,བག་ཡོད་པ
慧善解脱,ཤེས་རབ་རྣམ་པར་གྲོལ་བ
本性,རང་བཞིན
伺求,ཚོལ་བ
讃,བསྟོད་པ
火界,མེའི་ཁམས
一切法縁生自性,ཆོས་རྣམས་ཀྱི་རྟེན་ཅིང་འབྲེལ་བར་འབྱུང་བ་ཉིད
宿業有過失,སྔོན་གྱི་ལས་ཀྱི་ཉེས་པ
觀佛法身,དེ་བཞིན་གཤེགས་པ་ཆོས་ཀྱི་སྐུར་མཐོང་བ
未來境,ཡུལ་མ་འོངས་པ
不同,ཆ་མི་མཐུན་པ་མེད
害爲正法論,ཚེ་བའི་ཆོས་སུ་སྨྲ་བ
意不悦,ཡིད་དུ་མི་འོང་བ
欺誑,འཁུ་བ
往詣,སོང་ནས
不實相,ཡོངས་སུ་མ་གྲུབ་པའི་མཚན་ཉིད
唯,འབའ་ཞིག་པ
虚棄而眠,དོན་མེད་པར་ཉལ་བ
自本生事,བདག་ཉིད་ཀྱི་རང་གི་སྐྱེ་བ
所表,གྲགས་པ
能施,ཉེ་བར་སྒྲུབ་པ
因果比量,རྒྱུ་དང་འབྲས་བུ་ལས་རྗེས་སུ་དཔག་པ
不障,སྒྲིབ་པར་མི་འགྱུར་བ
止住,གནས་པ
令---通達,མངོན་པར་ཤེས་པར་འགྱུར་བ
現法自利,ཚེ་འདི་ཉིད་ལ་བདག་གི་དོན
貪依處,འདོད་ཆགས་ཀྱི་གནས
鐵虎頭,སྟག་གི་གདོང་ལྟ་བུ
無諍等持,ཉོན་མོངས་པ་མེད་པའི་ཏིང་ངེ་འཛིན
爾所時住,རེ་ཞིག་གནས་པ
執衆,མངོན་པར་ཞེན་པའི་རིས
善巧而取,ལེགས་པར་འཛིན་པ
局崛羅香,གུ་གུལ་གྱིས་བདུག་པ
身作證,ལུས་ཀྱིས་མངོན་སུམ་དུ་བྱས་པ
麁重倶行,གནས་ངན་ལེན་དང་ལྡན་པ
忍可,བཟོད་པ
成辦,ཡོངས་སུ་བསྒྲུབ་པ
舍宅,གནས
當具,གྱུར་པ
行速,ཆེས་མགྱོགས་པར་འགྲོ་བ
隨---一,ཅི་ཡང་རུང་བ
色等想事,གཟུགས་ལ་སོགས་པ་མིང་ཅན་གྱི་དངོས་པོ
遇,བྱས་པ་ན
施,ཡོངས་སུ་གཏོང་བ
應稱揚,བརྗོད་པར་བྱ་བ
千倍,སྟོང་གི་ཆ
自相邪分別過失,རང་གི་མཚན་ཉིད་ལོག་པར་ཡོངས་སུ་རྟོག་པའི་ཉེས་པ
以二分,ཉིས་འགྱུར་དུ
現前酬報,ལན་དུ་ཕན་འདོགས་པ
不思議,བསམ་པར་བྱ་བ་མ་ཡིན་པ
已知根,ཀུན་ཤེས་པའི་དབང་པོ
處善巧,སྐྱེ་མཆེད་ལ་མཁས་པ
最極速疾般涅槃者,མྱུར་བར་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བར་བྱེད་པ
應告言,འདི་སྐད་ཅེས
純厚,སྙིང་ཐག་པ
聖慧,འཕགས་པའི་ཤེས་རབ
愛,ཀུན་ཏུ་ཆགས་པར་འགྱུར་བ
作---勝解,མོས་པ
三摩地樂,ཏིང་ངེ་འཛིན་གྱི་བདེ་བ
調柔心,ལས་སུ་རུང་བའི་སེམས
正行最勝,སྒྲུབ་པ་དམ་པ
盪塵經,གསེར་བདར་བའི་མདོ
能受,ལེན་པ
退,ཡོངས་སུ་ཉམས་པར་འགྱུར་བ
毀譽,བསྔགས་པ་མ་ཡིན་པ
見處,ལྟ་བའི་གནས་དང་མཐུན་པ
細沙,བྱེ་མ་ཞིབ་མོ
一切如來,སངས་རྒྱས་ཐམས་ཅད
違害,མི་མཐུན་པ
作損減,ཉུང་ངུར་བྱེད་པ
達,རྟོགས་པར་བྱ་བ
自化己身爲苾芻像,དགེ་སློང་གི་ལུས་སུ་སྤྲུལ་པ
倶轉可得,ཅིག་ཅར་འབྱུང་བར་སྣང་བ
愚戇,བླུན་པ
清淨意樂,དག་པའི་བསམ་པ
預流果,རྒྱུན་དུ་ཞུགས་པའི་འབྲས་བུ
令不生,འབྱུང་བར་མི་འགྱུར་བ
能生三事,གཞི་གསུམ་སྐྱེད་པ
令不壞,ཞིག་པར་མ་གྱུར་པ
音樂,སིལ་སྙན
名安立,མིང་རྣམ་པར་འཇོག་པར་བྱེད་པ
降伏,རྣམ་པར་རྒྱལ་བ
有喜樂,དགའ་བ་དང་བཅས་པའི་བདེ་བ
自性相續解脱,ངོ་བོ་ཉིད་དང་རྒྱུད་རྣམ་པར་གྲོལ་བ
受用諸欲方便心,འདོད་པ་ལ་ལོངས་སྤྱོད་པའི་སྦྱོར་བ་ལས་བྱུང་བའི་སེམས
不勤修,མི་བརྩོན་པ
得轉滅,རྣམ་པར་ཟློག་པར་བྱེད་པ
明位,རིག་པའི་གནས་སྐབས
學道所攝,སློབ་པའི་ལམ་གྱིས་བསྡུས་པ
文句隱,ཚིག་དང་ཡི་གེ་གསང་བ
宮,གནས་ཁང
所伏,མནན་པ
所偃,དགག་པ
助,རྟོན་པ
無我性,བདག་མེད་པ
宣説,བསྙད་པ
諠雜,མང་བ
差別,རྣམ་པ་སྣ་ཚོགས
三聚法,ཆོས་རྣམས་ཀྱི་ཚོགས་གསུམ
煩惱熾盛,ཉོན་མོངས་པ་ཤས་ཆེ་བ
沐浴,ཁྲུས་བྱས་པ
無惑,སོམ་ཉི་མེད་པ
隨念雜染,རྗེས་སུ་དྲན་པའི་ཀུན་ནས་ཉོན་མོངས་པ
聰叡,ཤེས་པ
可愛趣異熟,སྡུག་པའི་འགྲོ་བ་རྣམ་པར་སྨིན་པར་བྱེད་པ
言諦實,བདེན་པ་སྨྲ་བ
顧戀行相,ལྟ་བའི་རྣམ་པ
現在受苦,ད་ལྟར་བྱུང་བ་སྡུག་བསྔལ
嫉妬,ཕྲག་དོག
身得輕安,ལུས་ཤིན་ཏུ་སྦྱངས་པར་འགྱུར་བ
與王等,བློན་པོ
言不威肅,ཚིག་མི་སྙན་པ
遠離一切分別,རྣམ་པར་རྟོག་པ་ཐམས་ཅད་དང་བྲལ་བ
乖背,རྒྱབ་ཀྱིས་ལྟ་བ
前,སྔ
不種種現前,མི་སྣང་བའི་ཚུལ་དུ
親愛,མཛའ་བཤེས
心倒,སེམས་ཕྱིན་ཅི་ལོག་ཏུ་འགྱུར་བ
離,གཏོང་བ
趣滅行,འགོག་པར་འགྱུར་བའི་ལམ
犬,ཁྱི
非田器施,སྣོད་མ་ཡིན་པ་ལ་སྦྱིན་པ
所依處,ཆེད་དུ
非量,ཚོད་མ་ཡིན་པར
増益邊,སྒྲོ་འདོགས་པའི་མཐའ
和合,ཀུན་ཏུ་སྦྱོར་བར
黯,སྔོ་བསངས
出住處外,གཙུག་ལག་ཁང་ནས་ཕྱིར་བྱུང་བ
一間補特伽羅,གང་ཟག་བར་ཆད་གཅིག་པ
營僧事者,དགེ་འདུན་གྱི་ལས་བྱེད་པ
教授教誡者,འདོམས་པ་དང་རྗེས་སུ་སྟོན་པ
巧便,མཁས་པ
執著補特伽羅自性縛,གང་ཟག་གི་ངོ་བོ་ཉིད་ལ་མངོན་པར་ཞེན་པའི་འཆིང་བ
攝爲徒衆,འཁོར་སྡུད་པར་བྱེད་པ
可轉變,ཡོངས་སུ་འགྱུར་བ
所擯黜,ཉམས་པ
應施,སྦྱིན་པ
諸佛菩提,སངས་རྒྱས་ཀྱི་བྱང་ཆུབ
濤波涌溢,ཆུས་རྒྱས་པ
香,དྲི
無止息性,ལྡོག་པ་མེད་པ
無爲智,འདུས་མ་བྱས་ཀྱི་ཤེས་པ
字母,ཡི་གེའི་ཕྱི་མོ
長時煩惱,ཉོན་མོངས་པ་ཡུན་རིང་པོ
尋思路,རྟོག་པའི་ལམ
清淨業,གཙང་བའི་ལས
怯畏,བག་ཚ་བའི་འཇིགས་པ
如經言,མདོ་ལས་འབྱུང་བའི་ཚིག་ལྟ་བུ
智,ཤེས་པ
入---數中,གྲངས་སུ་འགྲོ་བ
極重,ལྕི་བ
速,མྱུར་བ་མྱུར་བར
現前,སྣང་བར་འགྱུར་བ
呑吸,མདུད་པ་བོར་བ
餠,ལྡེ་གུ
安怛婆參,མཐང་གོས
上身分,ལུས་རོ་སྟོད
得離染,འདོད་ཆགས་དང་བྲལ་བར་འགྱུར་བ
自義稽留,རང་གི་དོན་ལ་སླུ་བ
値遇勝縁,རྐྱེན་འཐོབ་པ
何義故,ཅིའི་ཕྱིར
資財愛,ལོངས་སྤྱོད་ཀྱི་སྲེད་པ
最上,མཆོག
佛弟子,སངས་རྒྱས་ཀྱི་ཉན་ཐོས
念所行諸識,དྲན་པ་སྤྱོད་པའི་རྣམ་པར་ཤེས་པ
罵詈,གཤེ་བ
依毘奈耶勤學,དགེ་སློང་འདུལ་བའི་བསླབ་པ་ལ་བརྩོན་པ
三摩地自在,ཏིང་ངེ་འཛིན་ལ་དབང
希求,སྒྲུབ་པ
飽醉,ཚིམ་པ
無取,བླང་བ་མེད་པ
欲貪,འདུན་པའི་འདོད་ཆགས
遍諸方維,ཕྱོགས་ཕྱོགས་སུ་གཏོར་བ
現前地,མངོན་དུ་གྱུར་པ
加---傷害,རྣམ་པར་འཚེ་བར་བྱེད་པ
諸法同類相應,རིགས་དང་འབྲེལ་པའི་ཆོས
五支所攝不放逸行,ཡན་ལག་ལྔས་བསྡུས་པའི་བག་ཡོད་པ
圓成實相,ཡོངས་སུ་གྲུབ་པའི་མཚན་ཉིད
所引,ཡོངས་སུ་བསྒོས་པ
慧不増長,ཤེས་རབ་འཕེལ་བར་མི་བྱེད་པ
趣,རབ་ཏུ་བྱུང་བ
身樂,ལུས་ཀྱི་བདེ་བ
斷截,གཅོད་པ
攝眷屬過,ཆུང་མ་ཡོངས་སུ་འཛིན་པའི་ཉེས་པ
前後,སྔ་ཕྱིར
違,ཟློག་པར་བྱེད་པ
穢下,ཟླ་མཚན་འཛག་པ
非處委信,ཡིད་གཅུགས་པའི་གནས་མ་ཡིན་པ
損惱,གཙེ་བ
無毀犯退屈,སྒྱིད་ལུག་པར་མི་འགྱུར་བ
等無加行,མངོན་པར་འདུ་བྱེད་པ་མེད་པར་འདྲ་བ
發生,སྐྱེ་བར་འགྱུར་བ
善淨意樂,བསམ་པ་ཤིན་ཏུ་རྣམ་པར་དག་པ
如實了知,ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་རབ་ཏུ་མཁྱེན་པ
麁慧,ཤེས་རབ་ཆེས་རགས་པ
本外道,སྔོན་མུ་སྟེགས་ཅན
資身衆具,ལུས་ཀྱི་ཡོ་བྱད
五濁,སྙིགས་མ་ལྔ་པོ་དག
無染施性,ཀུན་ནས་ཉོན་མོངས་པ་ཅན་མ་ཡིན་པའི་སྦྱིན་པ
説法師,སྟོན་པ་པོ
不愛,དགའ་བར་མི་བྱེད་པ
冷,བསིལ་བ
能諫擧,གླེང་བར་བྱེད་པ
雜綵間飾,གསེར་གྱིས་སྤྲས་པ་རྣམ་པར་བཀྲ་བ
往來,འོང་བ་དང་འགྲོ་བ
意樂方便,བསམ་པ་དང་སྦྱོར་བ
如所有性,ཇི་ལྟ་བ་བཞིན་དུ་ཡོད་པ
應修習相,སོ་སོར་བསྟེན་པར་བྱ་བའི་མཚན་མ
正思擇,སོ་སོར་བརྟགས་པ
雜惡禽獸,གཅན་གཟན་གནོད་པ་བྱེད་པ
不僂曲,མ་བཏུད་པ
在定時,སྙོམས་པར་ཞུགས་པ
恭敬聽受,གུས་པར་བྱས་ཏེ་ཉན་པ་དང་འཛིན་པ
思惟眞如,དེ་བཞིན་ཉིད་ཡིད་ལ་བྱེད་པ
能多住,ཤས་ཆེར་གནས་པ
下地世間,འཇིག་རྟེན་འོག་མ
刹那住,སྐད་ཅིག་གནས་པ
求興諍事,བརྩད་པར་བྱ་བའི་དོན་དུ
不了義教,དྲང་བའི་དོན་བཤད་པ
能安住,གནས་པ
應觀察,ཉེ་བར་བརྟག་པར་བྱ་དགོས་པ
麁獷,རྩུབ་པ
大相所縁識,དམིགས་པའི་མཚན་མ་རྒྱ་ཆེན་པོར་གྱུར་པ་རྣམ་པར་རིག་པ
因増益,རྒྱུ་བརྟས་པ
施,སྦྱིན་པ
成熟方便,ཡོངས་སུ་སྨིན་པར་བྱ་བའི་ཐབས
發憶念,དྲན་པ་བྱེད་པ
敗壞,རྙིངས་པ
沒,ཉམས་པར་བྱེད་པ
堅固,སྙིང་པོ་ཉིད
已生,ཞུགས་པ
好合徒侶,འདུ་འཛིའི་གཏམ
心不定,སེམས་མཉམ་པར་མ་བཞག་པ
因所顯,རྒྱུར་རབ་ཏུ་ཕྱེ་བ
共,ཐུན་མོང་བ
隨轉供事,མཐུན་པར་འཇུག་པར་ཁས་བླང་བ
結句,རྩ་བ་བསྡེབས་པ
攝受時,བསྙེན་པའི་དུས
色,བུད་མེད
任持,རང་བཞིན་ཅན
一時半時,ཐུན་དང་ཐུན་ཕྱེད
作意,རྩོལ་བ
事之總相,དངོས་པོ་མཐའ་དག་གི་མཚན་ཉིད
成,གྲུབ་པ
學戒,ཚུལ་ཁྲིམས་ཡང་དག་པར་བླང་བ
資具之樹,སྣོད་སྤྱད་ཀྱི་ཡོ་བྱད་འབྱུང་བའི་ཤིང་ལྗོན་པ
足滿,ཡོངས་སུ་བསྐང་བ
能自損,བདག་ལ་གནོད་པར་འགྱུར་བ
正至,ཡང་དག་པར་རྟོགས་པ
咸共,ཕྱོགས་དང་ཕྱོགས་མཚམས
説是語已,དེ་སྐད་ཅེས་གསོལ་པ
寂靜妙迹,ཞི་བའི་གོ་འཕང་མཆོག་ཉིད
縁生行如幻事智,རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའི་འདུ་བྱེད་སྒྱུ་མ་ལྟ་བུར་ཤེས་པ
化生有情,སེམས་ཅན་རྫུས་ཏེ་སྐྱེ་བ
増長善法,དགེ་བ་སོགས་པ
功,འབད་པ
墮界生,ཁམས་སུ་གཏོགས་པ་རྣམས་ཀྱི་སྐྱེ་བ
遍開示,ཡང་དག་པར་རབ་ཏུ་སྟོན་པ
非無悕望,མི་ལྟོས་པ་མ་ཡིན་པ
漏盡智通,ཟག་པ་ཟད་པ་མཁྱེན་པ
空見,མེད་པ
自義行,རང་གི་དོན་སྒྲུབ་པ
格量,ཡོངས་སུ་དཔོག་པ
能修作,སྦྱོར་བ
色纒,གཟུགས་ན་སྤྱོད་པ
天上樂世界,མཐོ་རིས་ཀྱི་འཇིག་རྟེན་ལྷ་དང་མི་རྣམས
戒禁取,ཚུལ་ཁྲིམས་དང་བརྟུལ་ཞུགས་མཆོག་ཏུ་འཛིན་པ
靜慮定者,བསམ་གཏན་བྱེད་པ
無失壞相,ཆུད་མི་ཟ་བའི་མཚན་ཉིད
安住寂靜,ཞི་བར་གནས་པ
起損減執,སྐུར་པ་འདེབས་པ
燒,ཡོངས་སུ་གདུང་བར་བྱེད་པ
萎華,མེ་ཏོག་རྙིང་པ
和合僧,དགེ་འདུན
置,བཞག་སྟེ
證解,རྣམ་པར་ཤེས་ཤིང་དམིགས་པ
